hid,pid,person_number,age,sex
60446,140448,2,43,2
60446,140449,3,16,1
60446,140450,4,11,2
60446,140451,5,21,1
60447,140452,1,68,2
60447,140453,2,72,1
60448,140454,1,29,2
60448,140455,2,29,1
60449,140456,1,43,2
60450,140457,1,26,2
60450,140458,2,24,1
60451,140459,1,81,2
60452,140460,1,59,2
60452,140461,2,46,1
60453,140462,1,57,2
60453,140463,2,59,1
60454,140464,1,61,2
60454,140465,2,40,2
60455,140466,1,41,2
60455,140467,2,43,1
60455,140468,3,15,2
60455,140469,4,13,1
60455,140470,5,9,2
60456,140471,1,44,2
60456,140472,2,51,1
60457,140473,1,77,1
60457,140474,2,76,2
60458,140475,1,70,1
60458,140476,2,67,2
60459,140477,1,77,2
60459,140478,2,78,1
60460,140479,1,43,2
60460,140480,2,51,1
60461,140481,1,68,1
60461,140482,2,67,2
60462,140483,1,70,1
60462,140484,2,61,2
60463,140485,1,69,2
60464,140486,1,83,2
60464,140487,2,82,1
60465,140488,1,30,1
60465,140489,2,25,2
60466,140490,1,61,2
60466,140491,2,61,1
60467,140492,1,70,1
60467,140493,2,69,2
60468,140494,1,52,2
60468,140495,2,56,1
60469,140496,1,86,1
60469,140497,2,69,2
60470,140498,1,25,2
60471,140499,1,38,1
60471,140500,2,38,2
60471,140501,3,15,2
60471,140502,4,13,1
60471,140503,5,8,2
60472,140504,1,80,1
60472,140505,2,68,2
60473,140506,1,70,2
60473,140507,2,70,1
60474,140508,1,65,1
60474,140509,2,46,2
60475,140510,1,82,1
60475,140511,2,78,2
60476,140512,1,66,2
60476,140513,2,54,1
60477,140514,1,30,2
60477,140515,2,29,1
60477,140516,3,9,1
60478,140517,1,71,1
60478,140518,2,58,2
60479,140519,1,34,1
60479,140520,2,32,2
60479,140521,3,8,1
60479,140522,4,3,2
60479,140523,5,0,2
60480,140524,1,72,1
60480,140525,2,70,2
60481,140526,1,65,2
60481,140527,2,65,1
60482,140528,1,70,2
60483,140529,1,75,1
60483,140530,2,70,2
60483,140531,3,24,1
60484,140532,1,70,1
60484,140533,2,69,2
60485,140534,1,69,1
60485,140535,2,65,2
60486,140536,1,41,1
60486,140537,2,38,2
60486,140538,3,14,2
60486,140539,4,9,2
60486,140540,5,18,2
60487,140541,1,60,1
60487,140542,2,52,2
60487,140543,3,30,1
60487,140544,4,2,1
60487,140545,5,30,2
60488,140546,1,45,2
60488,140547,2,47,1
60488,140548,3,23,2
60488,140549,4,3,2
60488,140550,5,64,1
60489,140551,1,83,2
60490,140552,1,70,2
60490,140553,2,73,1
60491,140554,1,89,1
60491,140555,2,60,1
60492,140556,1,29,1
60492,140557,2,27,2
60492,140558,3,1,1
60493,140559,1,44,1
60494,140560,1,43,1
60494,140561,2,41,2
60494,140562,3,16,1
60495,140563,1,33,1
60495,140564,2,28,2
60495,140565,3,2,1
60495,140566,4,1,1
60496,140567,1,29,2
60496,140568,2,37,1
60496,140569,3,1,2
60497,140570,1,47,2
60497,140571,2,49,1
60497,140572,3,20,2
60497,140573,4,18,1
60497,140574,5,13,2
60498,140575,1,39,2
60498,140576,2,13,1
60498,140577,3,13,1
60498,140578,4,12,2
60498,140579,5,38,1
60499,140580,1,59,2
60499,140581,2,46,1
60500,140582,1,61,1
60500,140583,2,63,2
60501,140584,1,40,1
60501,140585,2,38,2
60501,140586,3,2,1
60501,140587,4,0,2
60502,140588,1,54,1
60502,140589,2,57,2
60503,140590,1,77,1
60503,140591,2,62,2
60504,140592,1,52,1
60504,140593,2,51,2
60505,140594,1,60,1
60505,140595,2,59,2
60506,140596,1,70,1
60506,140597,2,65,2
60507,140598,1,79,2
60507,140599,2,46,2
60508,140600,1,68,2
60508,140601,2,72,1
60508,140602,3,49,1
60509,140603,1,31,2
60509,140604,2,33,1
60510,140605,1,64,1
60510,140606,2,67,2
60511,140607,1,80,2
60512,140608,1,44,2
60512,140609,2,46,1
60512,140610,3,5,1
60513,140611,1,55,1
60513,140612,2,60,2
60514,140613,1,52,2
60514,140614,2,53,1
60515,140615,1,66,1
60515,140616,2,61,2
60516,140617,1,27,1
60516,140618,2,25,2
60517,140619,1,68,2
60517,140620,2,72,1
60517,140621,3,49,1
60518,140622,1,67,1
60518,140623,2,66,2
60519,140624,1,67,2
60519,140625,2,54,1
60520,140626,1,56,1
60520,140627,2,54,2
60521,140628,1,34,2
60521,140629,2,6,2
60521,140630,3,4,2
60521,140631,4,28,1
60521,140632,5,24,1
60522,140633,1,46,1
60522,140634,2,48,2
60523,140635,1,69,2
60524,140636,1,46,2
60524,140637,2,20,1
60525,140638,1,73,1
60526,140639,1,42,2
60526,140640,2,19,2
60526,140641,3,13,2
60526,140642,4,11,1
60527,140643,1,39,2
60527,140644,2,34,1
60527,140645,3,18,2
60527,140646,4,10,1
60527,140647,5,4,1
60528,140648,1,50,1
60528,140649,2,50,2
60529,140650,1,36,2
60529,140651,2,35,1
60529,140652,3,9,1
60529,140653,4,7,1
60529,140654,5,80,2
60530,140655,1,34,1
60530,140656,2,32,2
60530,140657,3,8,1
60530,140658,4,3,2
60530,140659,5,0,2
60531,140660,1,35,1
60531,140661,2,6,1
60531,140662,3,35,2
60532,140663,1,37,2
60532,140664,2,29,1
60532,140665,3,13,1
60532,140666,4,10,2
60532,140667,5,9,1
60533,140668,1,66,1
60533,140669,2,53,2
60534,140670,1,44,1
60534,140671,2,44,2
60534,140672,3,23,2
60534,140673,4,12,2
60534,140674,5,6,2
60535,140675,1,41,2
60535,140676,2,39,1
60536,140677,1,40,1
60536,140678,2,30,2
60536,140679,3,6,2
60536,140680,4,4,1
60536,140681,5,4,1
60537,140682,1,52,2
60538,140683,1,79,2
60539,140684,1,66,1
60539,140685,2,53,2
60540,140686,1,70,1
60540,140687,2,57,2
60541,140688,1,72,1
60541,140689,2,75,2
60542,140690,1,56,2
60543,140691,1,78,2
60544,140692,1,37,2
60544,140693,2,40,1
60544,140694,3,19,1
60544,140695,4,4,1
60544,140696,5,2,1
60545,140697,1,52,2
60546,140698,1,81,1
60546,140699,2,82,2
60546,140700,3,54,1
60547,140701,1,94,2
60548,140702,1,70,1
60548,140703,2,57,2
60549,140704,1,29,1
60549,140705,2,27,2
60549,140706,3,1,1
60550,140707,1,66,2
60550,140708,2,54,1
60551,140709,1,52,2
60551,140710,2,17,2
60551,140711,3,16,1
60551,140712,4,15,2
60551,140713,5,13,2
60552,140714,1,35,2
60552,140715,2,50,1
60553,140716,1,43,2
60554,140717,1,32,2
60554,140718,2,12,2
60554,140719,3,4,1
60555,140720,1,55,2
60555,140721,2,19,1
60556,140722,1,77,1
60557,140723,1,41,1
60557,140724,2,51,2
60558,140725,1,44,2
60558,140726,2,27,2
60558,140727,3,5,1
60558,140728,4,3,1
60558,140729,5,47,1
60559,140730,1,94,1
60560,140731,1,73,1
60560,140732,2,67,2
60561,140733,1,66,1
60561,140734,2,63,2
60562,140735,1,65,2
60563,140736,1,39,2
60563,140737,2,13,1
60563,140738,3,13,1
60563,140739,4,12,2
60563,140740,5,38,1
60564,140741,1,77,1
60565,140742,1,88,1
60565,140743,2,82,2
60566,140744,1,82,2
60567,140745,1,51,1
60567,140746,2,51,2
60568,140747,1,52,2
60568,140748,2,13,1
60568,140749,3,54,2
60569,140750,1,66,1
60569,140751,2,72,2
60570,140752,1,61,2
60570,140753,2,40,2
60571,140754,1,57,1
60571,140755,2,58,2
60571,140756,3,31,2
60572,140757,1,56,1
60573,140758,1,66,1
60573,140759,2,54,2
60573,140760,3,22,1
60574,140761,1,65,1
60574,140762,2,46,2
60575,140763,1,32,2
60575,140764,2,35,1
60575,140765,3,13,2
60575,140766,4,7,1
60576,140767,1,51,1
60576,140768,2,47,2
60577,140769,1,47,2
60577,140770,2,48,1
60577,140771,3,27,1
60577,140772,4,23,1
60578,140773,1,44,2
60578,140774,2,49,1
60578,140775,3,17,1
60579,140776,1,68,2
60579,140777,2,63,1
60579,140778,3,6,2
60580,140779,1,59,1
60580,140780,2,56,2
60581,140781,1,53,1
60581,140782,2,15,1
60582,140783,1,62,1
60583,140784,1,44,2
60583,140785,2,27,2
60583,140786,3,5,1
60583,140787,4,3,1
60583,140788,5,47,1
60584,140789,1,39,2
60584,140790,2,13,1
60584,140791,3,13,1
60584,140792,4,12,2
60584,140793,5,38,1
60585,140794,1,62,2
60585,140795,2,65,1
60586,140796,1,39,2
60586,140797,2,13,1
60586,140798,3,13,1
60586,140799,4,12,2
60586,140800,5,38,1
60587,140801,1,93,1
60588,140802,1,67,1
60588,140803,2,67,2
60589,140804,1,60,1
60589,140805,2,67,2
60590,140806,1,42,2
60590,140807,2,40,1
60590,140808,3,16,1
60590,140809,4,14,1
60591,140810,1,29,2
60591,140811,2,69,2
60592,140812,1,68,1
60592,140813,2,63,2
60593,140814,1,44,2
60593,140815,2,44,1
60594,140816,1,83,2
60595,140817,1,25,2
60595,140818,2,25,1
60596,140819,1,33,1
60596,140820,2,28,2
60596,140821,3,1,2
60597,140822,1,78,1
60597,140823,2,77,2
60598,140824,1,51,1
60598,140825,2,51,2
60599,140826,1,37,2
60599,140827,2,29,1
60599,140828,3,13,1
60599,140829,4,10,2
60599,140830,5,9,1
60600,140831,1,76,1
60600,140832,2,74,2
60601,140833,1,74,1
60601,140834,2,71,2
60602,140835,1,34,1
60602,140836,2,43,2
60602,140837,3,5,1
60603,140838,1,66,2
60603,140839,2,54,1
60604,140840,1,55,1
60604,140841,2,52,2
60605,140842,1,84,2
60606,140843,1,30,1
60606,140844,2,18,2
60607,140845,1,61,1
60607,140846,2,59,2
60608,140847,1,31,1
60608,140848,2,3,1
60609,140849,1,53,2
60609,140850,2,53,1
60610,140851,1,78,1
60610,140852,2,78,2
60611,140853,1,60,2
60611,140854,2,62,1
60611,140855,3,26,2
60612,140856,1,70,1
60612,140857,2,67,2
60613,140858,1,66,2
60614,140859,1,36,2
60614,140860,2,35,1
60614,140861,3,9,1
60614,140862,4,7,1
60614,140863,5,80,2
60615,140864,1,57,2
60615,140865,2,24,2
60616,140866,1,60,2
60616,140867,2,56,1
60617,140868,1,79,2
60618,140869,1,47,2
60618,140870,2,49,1
60618,140871,3,20,2
60618,140872,4,18,1
60618,140873,5,13,2
60619,140874,1,53,1
60620,140875,1,42,2
60620,140876,2,17,2
60621,140877,1,74,1
60621,140878,2,93,2
60622,140879,1,35,2
60622,140880,2,50,1
60623,140881,1,70,1
60623,140882,2,67,2
60624,140883,1,70,2
60625,140884,1,47,1
60626,140885,1,60,2
60626,140886,2,72,1
60627,140887,1,75,1
60627,140888,2,76,2
60628,140889,1,28,1
60628,140890,2,28,2
60629,140891,1,53,1
60629,140892,2,55,2
60629,140893,3,18,1
60630,140894,1,59,1
60630,140895,2,62,2
60631,140896,1,60,1
60631,140897,2,54,2
60632,140898,1,89,1
60632,140899,2,88,2
60633,140900,1,57,2
60633,140901,2,59,1
60634,140902,1,58,1
60634,140903,2,51,2
60635,140904,1,32,2
60635,140905,2,35,1
60636,140906,1,27,1
60636,140907,2,25,2
60637,140908,1,44,2
60637,140909,2,27,2
60637,140910,3,5,1
60637,140911,4,3,1
60637,140912,5,47,1
60638,140913,1,83,1
60638,140914,2,78,2
60639,140915,1,67,1
60640,140916,1,73,1
60640,140917,2,64,2
60641,140918,1,55,1
60641,140919,2,52,2
60642,140920,1,67,2
60642,140921,2,54,1
60643,140922,1,79,2
60644,140923,1,72,1
60644,140924,2,75,2
60645,140925,1,50,2
60645,140926,2,25,2
60646,140927,1,83,1
60646,140928,2,63,2
60647,140929,1,43,2
60647,140930,2,51,1
60648,140931,1,58,1
60648,140932,2,60,2
60649,140933,1,44,2
60649,140934,2,14,2
60649,140935,3,0,1
60650,140936,1,37,2
60650,140937,2,40,1
60650,140938,3,19,1
60650,140939,4,4,1
60650,140940,5,2,1
60651,140941,1,48,2
60651,140942,2,52,1
60652,140943,1,70,2
60652,140944,2,70,1
60653,140945,1,87,1
60653,140946,2,82,2
60654,140947,1,61,2
60654,140948,2,40,2
60655,140949,1,28,1
60656,140950,1,71,1
60656,140951,2,63,2
60656,140952,3,68,1
60656,140953,4,63,2
60656,140954,5,71,2
60657,140955,1,55,1
60657,140956,2,60,2
60658,140957,1,74,1
60658,140958,2,45,2
60659,140959,1,79,2
60660,140960,1,41,1
60660,140961,2,43,2
60660,140962,3,16,1
60660,140963,4,11,2
60660,140964,5,21,1
60661,140965,1,34,1
60662,140966,1,32,2
60662,140967,2,15,2
60662,140968,3,12,1
60662,140969,4,11,2
60663,140970,1,27,1
60664,140971,1,67,1
60664,140972,2,68,2
60665,140973,1,52,2
60666,140974,1,39,2
60666,140975,2,13,1
60666,140976,3,13,1
60666,140977,4,12,2
60666,140978,5,38,1
60667,140979,1,32,2
60668,140980,1,61,1
60668,140981,2,66,2
60668,140982,3,40,2
60669,140983,1,41,1
60669,140984,2,41,2
60669,140985,3,16,1
60670,140986,1,48,1
60670,140987,2,48,2
60671,140988,1,30,1
60671,140989,2,34,2
60671,140990,3,1,2
60672,140991,1,75,2
60672,140992,2,79,1
60673,140993,1,87,2
60674,140994,1,39,2
60674,140995,2,13,1
60674,140996,3,13,1
60674,140997,4,12,2
60674,140998,5,38,1
60675,140999,1,31,2
60675,141000,2,28,1
60676,141001,1,67,2
60676,141002,2,75,1
60677,141003,1,86,1
60677,141004,2,84,2
60678,141005,1,51,1
60678,141006,2,48,2
60679,141007,1,28,1
60679,141008,2,26,2
60679,141009,3,4,1
60679,141010,4,1,2
60679,141011,5,52,1
60680,141012,1,47,2
60680,141013,2,14,2
60681,141014,1,53,2
60681,141015,2,58,1
60682,141016,1,53,1
60682,141017,2,43,2
60682,141018,3,11,1
60683,141019,1,80,1
60683,141020,2,75,2
60684,141021,1,69,2
60685,141022,1,87,2
60686,141023,1,83,1
60686,141024,2,77,2
60687,141025,1,35,1
60687,141026,2,35,2
60687,141027,3,8,1
60687,141028,4,6,1
60687,141029,5,3,2
60688,141030,1,53,1
60688,141031,2,50,1
60689,141032,1,78,1
60689,141033,2,77,2
60690,141034,1,54,2
60690,141035,2,60,1
60691,141036,1,47,2
60691,141037,2,49,1
60691,141038,3,20,2
60691,141039,4,18,1
60691,141040,5,13,2
60692,141041,1,41,2
60692,141042,2,19,2
60692,141043,3,16,1
60692,141044,4,14,2
60693,141045,1,58,1
60694,141046,1,60,2
60695,141047,1,94,2
60696,141048,1,75,1
60696,141049,2,79,2
60697,141050,1,65,1
60697,141051,2,46,2
60698,141052,1,52,2
60698,141053,2,52,1
60699,141054,1,39,2
60699,141055,2,15,2
60699,141056,3,13,1
60699,141057,4,9,2
60699,141058,5,2,1
60700,141059,1,54,1
60700,141060,2,37,2
60700,141061,3,9,2
60700,141062,4,7,1
60700,141063,5,12,2
60701,141064,1,30,1
60701,141065,2,28,2
60701,141066,3,3,1
60701,141067,4,1,1
60702,141068,1,49,1
60702,141069,2,49,2
60702,141070,3,8,1
60703,141071,1,88,1
60703,141072,2,70,2
60704,141073,1,31,1
60704,141074,2,3,1
60705,141075,1,66,2
60705,141076,2,54,1
60706,141077,1,37,2
60706,141078,2,40,1
60706,141079,3,19,1
60706,141080,4,4,1
60706,141081,5,2,1
60707,141082,1,72,1
60708,141083,1,26,2
60708,141084,2,6,2
60709,141085,1,50,2
60709,141086,2,22,2
60710,141087,1,71,1
60710,141088,2,71,2
60711,141089,1,66,2
60711,141090,2,54,1
60712,141091,1,89,1
60713,141092,1,51,1
60713,141093,2,51,2
60714,141094,1,32,2
60714,141095,2,12,2
60714,141096,3,4,1
60715,141097,1,81,1
60715,141098,2,53,1
60716,141099,1,44,2
60716,141100,2,44,1
60717,141101,1,39,2
60717,141102,2,39,1
60717,141103,3,9,2
60717,141104,4,5,1
60718,141105,1,65,2
60718,141106,2,32,1
60719,141107,1,47,1
60720,141108,1,66,2
60721,141109,1,54,2
60721,141110,2,56,1
60722,141111,1,65,1
60722,141112,2,63,2
60723,141113,1,75,2
60723,141114,2,80,1
60724,141115,1,26,2
60724,141116,2,6,2
60725,141117,1,73,1
60726,141118,1,67,1
60726,141119,2,66,2
60727,141120,1,69,1
60727,141121,2,68,2
60728,141122,1,74,2
60728,141123,2,60,1
60729,141124,1,29,2
60729,141125,2,29,1
60730,141126,1,64,1
60731,141127,1,48,1
60731,141128,2,52,2
60732,141129,1,78,1
60732,141130,2,81,2
60732,141131,3,53,2
60733,141132,1,88,2
60733,141133,2,56,1
60733,141134,3,53,1
60734,141135,1,59,1
60734,141136,2,19,2
60734,141137,3,18,2
60734,141138,4,14,2
60735,141139,1,39,1
60735,141140,2,36,2
60735,141141,3,8,2
60735,141142,4,5,2
60736,141143,1,63,1
60736,141144,2,7,2
60737,141145,1,83,2
60738,141146,1,56,2
60738,141147,2,64,1
60739,141148,1,60,2
60739,141149,2,19,1
60740,141150,1,50,2
60740,141151,2,27,2
60740,141152,3,25,1
60740,141153,4,22,1
60741,141154,1,34,2
60741,141155,2,17,1
60741,141156,3,34,2
60742,141157,1,44,2
60742,141158,2,47,1
60742,141159,3,23,2
60742,141160,4,21,1
60743,141161,1,50,2
60743,141162,2,56,1
60743,141163,3,9,1
60744,141164,1,55,2
60744,141165,2,44,1
60744,141166,3,32,2
60744,141167,4,60,1
60745,141168,1,40,1
60745,141169,2,37,2
60745,141170,3,10,2
60745,141171,4,7,2
60745,141172,5,5,1
60746,141173,1,68,1
60746,141174,2,60,2
60747,141175,1,71,1
60747,141176,2,73,2
60748,141177,1,53,2
60748,141178,2,58,1
60749,141179,1,48,1
60749,141180,2,45,2
60749,141181,3,20,1
60750,141182,1,30,1
60750,141183,2,23,2
60750,141184,3,4,2
60751,141185,1,66,2
60751,141186,2,61,1
60752,141187,1,52,1
60752,141188,2,50,2
