,subgraph_inf_t,inf_1,inf_2,was_inf,inf_weight_1,inf_weight_2,s_t+d,age,pid
0,1.0,0.0,1.0,0.0,0.0,10020.0,0.0,62,199
1,1.0,0.0,2.0,0.0,0.0,10020.0,0.0,62,199
0,1.0,0.0,1.0,0.0,0.0,144898.0,0.0,63,214
0,1.0,0.0,1.0,0.0,0.0,37319.0,0.0,2,220
1,1.0,0.0,2.0,0.0,0.0,37319.0,0.0,2,220
2,1.0,0.0,3.0,0.0,0.0,37319.0,0.0,2,220
3,1.0,0.0,1.0,0.0,0.0,55019.0,0.0,2,220
0,1.0,0.0,1.0,0.0,0.0,22500.0,0.0,5,233
1,1.0,0.0,2.0,0.0,0.0,22500.0,0.0,5,233
0,1.0,0.0,1.0,0.0,0.0,83398.0,0.0,55,238
1,1.0,0.0,2.0,0.0,0.0,83398.0,0.0,55,238
2,1.0,0.0,3.0,0.0,0.0,83398.0,0.0,55,238
3,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,238
4,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,238
5,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,238
0,1.0,1.0,1.0,0.0,4800.0,4800.0,0.0,58,239
1,2.0,2.0,3.0,0.0,4800.0,19800.0,0.0,58,239
2,2.0,3.0,5.0,0.0,4800.0,19800.0,0.0,58,239
3,2.0,4.0,6.0,0.0,4800.0,19800.0,0.0,58,239
4,2.0,4.0,6.0,0.0,4800.0,19800.0,0.0,58,239
5,2.0,4.0,5.0,0.0,4800.0,19800.0,0.0,58,239
6,2.0,3.0,4.0,0.0,4800.0,20400.0,0.0,58,239
7,2.0,2.0,4.0,0.0,4800.0,20400.0,0.0,58,239
8,2.0,1.0,4.0,0.0,4800.0,20400.0,0.0,58,239
0,1.0,0.0,1.0,0.0,0.0,65398.0,0.0,18,240
1,1.0,0.0,2.0,0.0,0.0,65398.0,0.0,18,240
2,1.0,0.0,3.0,0.0,0.0,65398.0,0.0,18,240
3,1.0,0.0,4.0,0.0,0.0,65398.0,0.0,18,240
4,1.0,0.0,4.0,0.0,0.0,65398.0,0.0,18,240
5,1.0,0.0,4.0,0.0,0.0,65398.0,0.0,18,240
0,1.0,0.0,1.0,0.0,0.0,83398.0,0.0,55,241
1,1.0,0.0,2.0,0.0,0.0,83398.0,0.0,55,241
2,1.0,0.0,3.0,0.0,0.0,83398.0,0.0,55,241
3,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,241
4,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,241
5,1.0,0.0,4.0,0.0,0.0,83398.0,0.0,55,241
0,1.0,0.0,1.0,0.0,0.0,4200.0,0.0,59,245
0,1.0,0.0,1.0,0.0,0.0,900.0,0.0,63,246
0,1.0,0.0,1.0,0.0,0.0,14040.0,0.0,41,249
1,1.0,0.0,2.0,0.0,0.0,14040.0,0.0,41,249
0,1.0,0.0,1.0,0.0,0.0,9600.0,0.0,84,257
1,1.0,0.0,2.0,0.0,0.0,9600.0,0.0,84,257
0,1.0,0.0,1.0,0.0,0.0,7500.0,0.0,67,268
0,1.0,0.0,1.0,0.0,0.0,7200.0,0.0,41,276
1,1.0,0.0,2.0,0.0,0.0,7200.0,0.0,41,276
2,1.0,0.0,3.0,0.0,0.0,7200.0,0.0,41,276
0,1.0,0.0,1.0,0.0,0.0,59220.0,0.0,47,279
0,1.0,0.0,1.0,0.0,0.0,1020.0,0.0,88,304
1,1.0,0.0,2.0,0.0,0.0,1020.0,0.0,88,304
2,1.0,0.0,1.0,0.0,0.0,900.0,0.0,88,304
0,1.0,0.0,1.0,0.0,0.0,9360.0,0.0,50,311
1,1.0,0.0,2.0,0.0,0.0,9360.0,0.0,50,311
0,1.0,0.0,1.0,0.0,0.0,83879.0,0.0,54,313
1,1.0,0.0,2.0,0.0,0.0,83879.0,0.0,54,313
2,1.0,0.0,3.0,0.0,0.0,83879.0,0.0,54,313
3,1.0,0.0,4.0,0.0,0.0,83879.0,0.0,54,313
4,1.0,0.0,4.0,0.0,0.0,83879.0,0.0,54,313
0,1.0,0.0,1.0,0.0,0.0,2700.0,0.0,56,316
0,1.0,0.0,1.0,0.0,0.0,4920.0,0.0,64,325
1,1.0,0.0,2.0,0.0,0.0,4920.0,0.0,64,325
0,1.0,0.0,1.0,0.0,0.0,900.0,0.0,68,329
1,1.0,0.0,2.0,0.0,0.0,900.0,0.0,68,329
2,1.0,0.0,3.0,0.0,0.0,900.0,0.0,68,329
3,1.0,0.0,4.0,0.0,0.0,900.0,0.0,68,329
4,1.0,0.0,4.0,0.0,0.0,900.0,0.0,68,329
5,1.0,0.0,4.0,0.0,0.0,900.0,0.0,68,329
0,1.0,0.0,1.0,0.0,0.0,24900.0,0.0,0,335
0,1.0,0.0,1.0,0.0,0.0,6900.0,0.0,56,361
0,1.0,0.0,1.0,0.0,0.0,7260.0,0.0,59,374
1,1.0,0.0,2.0,0.0,0.0,7260.0,0.0,59,374
2,1.0,0.0,3.0,0.0,0.0,7260.0,0.0,59,374
0,1.0,0.0,1.0,0.0,0.0,5760.0,0.0,63,387
1,1.0,0.0,2.0,0.0,0.0,5760.0,0.0,63,387
2,1.0,0.0,3.0,0.0,0.0,5760.0,0.0,63,387
0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62,395
0,1.0,0.0,1.0,0.0,0.0,8460.0,0.0,35,398
1,1.0,0.0,2.0,0.0,0.0,8460.0,0.0,35,398
2,1.0,0.0,3.0,0.0,0.0,8460.0,0.0,35,398
0,1.0,0.0,1.0,0.0,0.0,106079.0,0.0,37,424
1,1.0,0.0,2.0,0.0,0.0,106079.0,0.0,37,424
2,1.0,0.0,3.0,0.0,0.0,106079.0,0.0,37,424
3,1.0,0.0,4.0,0.0,0.0,106079.0,0.0,37,424
4,1.0,0.0,4.0,0.0,0.0,106079.0,0.0,37,424
0,1.0,0.0,1.0,0.0,0.0,9000.0,0.0,71,426
1,1.0,0.0,2.0,0.0,0.0,9000.0,0.0,71,426
2,1.0,0.0,3.0,0.0,0.0,9000.0,0.0,71,426
3,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,71,426
4,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,71,426
5,1.0,0.0,4.0,0.0,0.0,9000.0,0.0,71,426
0,1.0,0.0,1.0,0.0,0.0,27900.0,0.0,71,429
0,1.0,0.0,1.0,0.0,0.0,4200.0,0.0,73,430
1,1.0,0.0,2.0,0.0,0.0,4200.0,0.0,73,430
0,1.0,0.0,1.0,0.0,0.0,2700.0,0.0,48,431
0,1.0,0.0,1.0,0.0,0.0,4200.0,0.0,40,440
1,1.0,0.0,2.0,0.0,0.0,4200.0,0.0,40,440
2,1.0,0.0,1.0,0.0,0.0,6900.0,0.0,40,440
3,1.0,0.0,2.0,0.0,0.0,6900.0,0.0,40,440
4,1.0,0.0,3.0,0.0,0.0,6900.0,0.0,40,440
0,1.0,0.0,1.0,0.0,0.0,15600.0,0.0,55,453
1,1.0,0.0,2.0,0.0,0.0,15600.0,0.0,55,453
2,1.0,0.0,3.0,0.0,0.0,15600.0,0.0,55,453
3,1.0,0.0,4.0,0.0,0.0,15600.0,0.0,55,453
4,1.0,0.0,4.0,0.0,0.0,15600.0,0.0,55,453
5,1.0,0.0,4.0,0.0,0.0,15600.0,0.0,55,453
0,1.0,0.0,1.0,0.0,0.0,3900.0,0.0,2,470
1,1.0,0.0,2.0,0.0,0.0,3900.0,0.0,2,470
2,1.0,0.0,3.0,0.0,0.0,3900.0,0.0,2,470
3,1.0,0.0,4.0,0.0,0.0,3900.0,0.0,2,470
4,1.0,0.0,4.0,0.0,0.0,3900.0,0.0,2,470
5,1.0,0.0,4.0,0.0,0.0,3900.0,0.0,2,470
0,1.0,0.0,1.0,0.0,0.0,16500.0,0.0,79,475
1,1.0,0.0,2.0,0.0,0.0,16500.0,0.0,79,475
0,1.0,0.0,1.0,0.0,0.0,7200.0,0.0,53,489
0,1.0,0.0,1.0,0.0,0.0,21780.0,0.0,27,496
1,1.0,0.0,2.0,0.0,0.0,21780.0,0.0,27,496
2,1.0,0.0,1.0,0.0,0.0,1020.0,0.0,27,496
3,1.0,0.0,2.0,0.0,0.0,1020.0,0.0,27,496
0,1.0,0.0,1.0,0.0,0.0,24600.0,0.0,2,497
1,1.0,0.0,2.0,0.0,0.0,24600.0,0.0,2,497
0,1.0,0.0,1.0,0.0,0.0,4500.0,0.0,62,499
0,1.0,0.0,1.0,0.0,0.0,12900.0,0.0,51,501
0,1.0,0.0,1.0,0.0,0.0,24000.0,0.0,5,513
1,1.0,0.0,2.0,0.0,0.0,24000.0,0.0,5,513
0,1.0,0.0,1.0,0.0,0.0,3600.0,0.0,39,524
1,1.0,0.0,2.0,0.0,0.0,3600.0,0.0,39,524
0,1.0,0.0,1.0,0.0,0.0,37800.0,0.0,83,530
1,1.0,0.0,2.0,0.0,0.0,37800.0,0.0,83,530
2,1.0,0.0,1.0,0.0,0.0,35760.0,0.0,83,530
3,1.0,0.0,2.0,0.0,0.0,35760.0,0.0,83,530
4,1.0,0.0,3.0,0.0,0.0,35760.0,0.0,83,530
5,1.0,0.0,1.0,0.0,0.0,10800.0,0.0,83,530
6,1.0,0.0,2.0,0.0,0.0,10800.0,0.0,83,530
0,1.0,0.0,1.0,0.0,0.0,61500.0,0.0,43,531
0,1.0,0.0,1.0,0.0,0.0,6300.0,0.0,50,539
0,1.0,0.0,1.0,0.0,0.0,1560.0,0.0,51,546
1,1.0,0.0,2.0,0.0,0.0,1560.0,0.0,51,546
0,1.0,0.0,1.0,0.0,0.0,9300.0,0.0,87,552
0,1.0,0.0,1.0,0.0,0.0,41519.0,0.0,48,562
1,1.0,0.0,2.0,0.0,0.0,41519.0,0.0,48,562
2,1.0,0.0,1.0,0.0,0.0,5700.0,0.0,48,562
0,1.0,0.0,1.0,0.0,0.0,42300.0,0.0,17,566
1,1.0,0.0,2.0,0.0,0.0,42300.0,0.0,17,566
2,1.0,0.0,3.0,0.0,0.0,42300.0,0.0,17,566
0,1.0,0.0,1.0,0.0,0.0,35400.0,0.0,3,570
1,1.0,0.0,2.0,0.0,0.0,35400.0,0.0,3,570
2,1.0,0.0,1.0,0.0,0.0,1680.0,0.0,3,570
0,1.0,0.0,1.0,0.0,0.0,106439.0,0.0,71,573
1,1.0,0.0,2.0,0.0,0.0,106439.0,0.0,71,573
2,1.0,0.0,3.0,0.0,0.0,106439.0,0.0,71,573
3,1.0,0.0,4.0,0.0,0.0,106439.0,0.0,71,573
4,1.0,0.0,4.0,0.0,0.0,106439.0,0.0,71,573
0,1.0,0.0,1.0,0.0,0.0,11400.0,0.0,73,582
1,1.0,0.0,2.0,0.0,0.0,11400.0,0.0,73,582
2,1.0,0.0,3.0,0.0,0.0,11400.0,0.0,73,582
3,1.0,0.0,4.0,0.0,0.0,11400.0,0.0,73,582
4,1.0,0.0,4.0,0.0,0.0,11400.0,0.0,73,582
5,1.0,0.0,1.0,0.0,0.0,7200.0,0.0,73,582
6,1.0,0.0,2.0,0.0,0.0,7200.0,0.0,73,582
0,1.0,0.0,1.0,0.0,0.0,51299.0,0.0,64,583
0,1.0,0.0,1.0,0.0,0.0,19200.0,0.0,51,585
1,1.0,0.0,2.0,0.0,0.0,19200.0,0.0,51,585
0,1.0,0.0,1.0,0.0,0.0,12900.0,0.0,25,599
0,1.0,0.0,1.0,0.0,0.0,55500.0,0.0,9,605
1,1.0,0.0,2.0,0.0,0.0,55500.0,0.0,9,605
0,1.0,0.0,1.0,0.0,0.0,50639.0,0.0,81,610
1,1.0,0.0,2.0,0.0,0.0,50639.0,0.0,81,610
2,1.0,0.0,3.0,0.0,0.0,50639.0,0.0,81,610
3,1.0,0.0,4.0,0.0,0.0,50639.0,0.0,81,610
4,1.0,0.0,4.0,0.0,0.0,50639.0,0.0,81,610
0,1.0,0.0,1.0,0.0,0.0,17160.0,0.0,86,620
1,1.0,0.0,2.0,0.0,0.0,17160.0,0.0,86,620
0,1.0,0.0,1.0,0.0,0.0,3180.0,0.0,45,627
0,1.0,0.0,1.0,0.0,0.0,34199.0,0.0,65,634
1,1.0,0.0,2.0,0.0,0.0,34199.0,0.0,65,634
2,1.0,0.0,3.0,0.0,0.0,34199.0,0.0,65,634
3,1.0,0.0,4.0,0.0,0.0,34199.0,0.0,65,634
4,1.0,0.0,4.0,0.0,0.0,34199.0,0.0,65,634
5,1.0,0.0,4.0,0.0,0.0,34199.0,0.0,65,634
6,1.0,0.0,1.0,0.0,0.0,7500.0,0.0,65,634
0,1.0,0.0,1.0,0.0,0.0,17220.0,0.0,55,649
1,1.0,0.0,2.0,0.0,0.0,17220.0,0.0,55,649
0,1.0,0.0,1.0,0.0,0.0,1920.0,0.0,69,656
1,1.0,0.0,2.0,0.0,0.0,1920.0,0.0,69,656
2,1.0,0.0,3.0,0.0,0.0,1920.0,0.0,69,656
0,1.0,0.0,1.0,0.0,0.0,40800.0,0.0,35,660
1,1.0,0.0,2.0,0.0,0.0,40800.0,0.0,35,660
0,1.0,0.0,1.0,0.0,0.0,3300.0,0.0,61,666
1,1.0,0.0,2.0,0.0,0.0,3300.0,0.0,61,666
0,1.0,0.0,1.0,0.0,0.0,29700.0,0.0,47,670
0,1.0,0.0,1.0,0.0,0.0,15600.0,0.0,53,674
1,2.0,0.0,3.0,0.0,0.0,34620.0,0.0,53,674
2,2.0,0.0,5.0,0.0,0.0,34620.0,0.0,53,674
3,2.0,0.0,6.0,0.0,0.0,34620.0,0.0,53,674
4,2.0,0.0,6.0,0.0,0.0,34620.0,0.0,53,674
5,2.0,0.0,5.0,0.0,0.0,34620.0,0.0,53,674
6,2.0,1.0,4.0,0.0,4800.0,20400.0,0.0,53,674
7,2.0,2.0,4.0,0.0,4800.0,20400.0,0.0,53,674
8,2.0,3.0,4.0,0.0,4800.0,20400.0,0.0,53,674
0,1.0,0.0,1.0,0.0,0.0,65998.0,0.0,54,675
1,1.0,0.0,2.0,0.0,0.0,65998.0,0.0,54,675
2,1.0,0.0,3.0,0.0,0.0,65998.0,0.0,54,675
0,1.0,0.0,1.0,0.0,0.0,53279.0,0.0,51,682
1,1.0,0.0,2.0,0.0,0.0,53279.0,0.0,51,682
2,1.0,0.0,3.0,0.0,0.0,53279.0,0.0,51,682
3,1.0,0.0,4.0,0.0,0.0,53279.0,0.0,51,682
4,1.0,0.0,4.0,0.0,0.0,53279.0,0.0,51,682
0,1.0,0.0,1.0,0.0,0.0,3900.0,0.0,48,694
1,1.0,0.0,2.0,0.0,0.0,3900.0,0.0,48,694
0,1.0,0.0,1.0,0.0,0.0,3240.0,0.0,21,717
1,1.0,0.0,2.0,0.0,0.0,3240.0,0.0,21,717
2,1.0,0.0,3.0,0.0,0.0,3240.0,0.0,21,717
3,1.0,0.0,4.0,0.0,0.0,3240.0,0.0,21,717
4,1.0,0.0,4.0,0.0,0.0,3240.0,0.0,21,717
5,1.0,0.0,4.0,0.0,0.0,3240.0,0.0,21,717
0,1.0,0.0,1.0,0.0,0.0,98399.0,0.0,28,731
1,1.0,0.0,2.0,0.0,0.0,98399.0,0.0,28,731
2,1.0,0.0,3.0,0.0,0.0,98399.0,0.0,28,731
0,1.0,0.0,1.0,0.0,0.0,4080.0,0.0,61,744
1,1.0,0.0,2.0,0.0,0.0,4080.0,0.0,61,744
0,1.0,1.0,1.0,0.0,143998.0,143998.0,0.0,35,750
1,1.0,2.0,2.0,0.0,143998.0,143998.0,0.0,35,750
0,1.0,0.0,1.0,0.0,0.0,1380.0,0.0,58,752
1,1.0,0.0,2.0,0.0,0.0,1380.0,0.0,58,752
2,1.0,0.0,3.0,0.0,0.0,1380.0,0.0,58,752
0,1.0,0.0,1.0,0.0,0.0,50279.0,0.0,59,754
1,1.0,0.0,2.0,0.0,0.0,50279.0,0.0,59,754
2,1.0,0.0,3.0,0.0,0.0,50279.0,0.0,59,754
3,1.0,0.0,4.0,0.0,0.0,50279.0,0.0,59,754
4,1.0,0.0,4.0,0.0,0.0,50279.0,0.0,59,754
0,1.0,0.0,1.0,0.0,0.0,1680.0,0.0,67,755
1,1.0,0.0,2.0,0.0,0.0,1680.0,0.0,67,755
0,1.0,0.0,1.0,0.0,0.0,1200.0,0.0,67,756
0,1.0,0.0,1.0,0.0,0.0,15000.0,0.0,81,759
1,1.0,0.0,2.0,0.0,0.0,15000.0,0.0,81,759
2,1.0,0.0,3.0,0.0,0.0,15000.0,0.0,81,759
3,1.0,0.0,4.0,0.0,0.0,15000.0,0.0,81,759
4,1.0,0.0,4.0,0.0,0.0,15000.0,0.0,81,759
5,1.0,0.0,4.0,0.0,0.0,15000.0,0.0,81,759
6,2.0,1.0,4.0,0.0,4200.0,19200.0,0.0,81,759
7,2.0,2.0,4.0,0.0,4200.0,19200.0,0.0,81,759
8,2.0,3.0,4.0,0.0,4200.0,19200.0,0.0,81,759
0,1.0,0.0,1.0,0.0,0.0,156898.0,0.0,79,760
1,1.0,0.0,2.0,0.0,0.0,156898.0,0.0,79,760
2,1.0,0.0,3.0,0.0,0.0,156898.0,0.0,79,760
0,1.0,0.0,1.0,0.0,0.0,3000.0,0.0,57,762
1,1.0,0.0,2.0,0.0,0.0,3000.0,0.0,57,762
0,1.0,0.0,1.0,0.0,0.0,53940.0,0.0,58,764
1,1.0,0.0,2.0,0.0,0.0,53940.0,0.0,58,764
0,1.0,1.0,1.0,0.0,21600.0,21600.0,0.0,62,772
1,2.0,2.0,3.0,0.0,21600.0,53400.0,0.0,62,772
2,2.0,3.0,5.0,0.0,21600.0,53400.0,0.0,62,772
3,2.0,4.0,6.0,0.0,21600.0,53400.0,0.0,62,772
4,2.0,4.0,6.0,0.0,21600.0,53400.0,0.0,62,772
5,2.0,4.0,5.0,0.0,21600.0,53400.0,0.0,62,772
6,2.0,3.0,4.0,0.0,21600.0,54000.0,0.0,62,772
